Q	A	label
모습	미안하다고 말해야 합니다. 이대로 지낼 수는 없습니다. 진실된 모습으로 다가가고 싶습니다.	0
자꾸,선택,결심,무슨,소용	보잘 것 없음을 알아서 자꾸 공허해지는 선택만 해 그러니 다 시시해보이는 것 있지 아등바등하고 결심하고 그런 게 무슨 소용이야	0
엄마	소중한 엄마가 해주신 소중한 반친	0
아악	으으으으ㅡㅡ아ㅏㅏ아악	0
가원,호구,인생	착하기야착하지만 니가원하는호구인생은안살아줄거야 너만망해라너만	0
인터넷,친구	나는 인터넷 친구도 없다	0
커뮤,가도,군중,고독	어떤 커뮤를 가도 군중 속의 고독을 느껴	0
커뮤니티	좀 재미있고 유익한 커뮤니티 없을까	0
얼마,열정,생산,다가	얼마 되지도 않는 열정이지만 좀 더 생산적인 데다가 쓰고 싶어	0
만약,퀴즈,대회	만약 퀴즈 대회 나가서 그러면 어쩔 거냐고~~	0
데탑,성능,기분	애지간한 데탑보다 성능 좋은거보니 기분좋당	0
다른,사람,애정,필요	그러니까 다른 사람의 애정은 필요 없어	0
애정,나르시시즘	부족한 애정은 나르시시즘으로 채울래	0
애정,관심	어쩔 수 없이 애정과 관심을 갈구하게 됨	0
모든,스트레스,원인,나라고,결론	이 모든 스트레스의 원인이 결국 나라고 결론날 때다.	0
눈치,보지,훌쩍	눈치보지 않고 훌쩍 떠나갈 수 있는	0
생각	이럴때도 니생각만 나	0
느낌	몸이 늪에 잠기는 것처럼 아늑하면서도 위험한 느낌이 들어	0
상처,주기,몇번,생각,항상,다음,후회	너한테 상처 주기 싫어서 말하기 전부터 몇번씩 생각하는데 나는 왜 항상 말한다음엔 후회를 하는걸까 	0
누군가,하루,기분,하라,누군가,명성	누군가의 하루를 기분좋게 해주는 말이라면 하라. 하지만 누군가의 명성에 해가 되는 말이라면 하지 말라.	0
정신병,청산,수가	하지만 정신병을 청산할 수가 없어	0
우리,아무,사이	우리 아무 사이 아니잖아 	0
담배,피고,조금,취했어,어디,지금,여기	니가 싫어하는 담배도 피고 술도 했어 술이 깨면 내가 또 미워질까봐 마시다보니 조금 취했어 어디야 지금 뭐해 빨리 와 너 올 것 같아 여기서 나 기다리는데	0
언제,기분	언제 느껴도 불쾌하고 불안한 이기분	0
참고,스피노자,루터	참고로 저 말은 스피노자가 아니라 루터가 한 말이래	0
진짜,취미	진짜 좋아하는 취미를 찾고 싶어	0
차라리,나르시시스트	차라리 나르시시스트가 될래	0
무슨,혈액형,성격,사이비,상담사	무슨 혈액형 성격설 같은 거 믿는 사이비 상담사라서 많이 실망함	0
번식,갈기갈기	숨쉬고 웃고 번식하려고 하네 갈기갈기 찢어져 죽어버렸으면	0
의지,박약,구더기	의지박약구더기의삶	0
감정,항상,일도,제대로,하루	감정이 없다면 더 열심히 살 수 있을텐데  항상 괴로워하다가 해야하는 일도 제대로 못하고 하루가 끝난다	0
반드시,정도	반드시 그렇게 하고 싶다  하지만 그정도로 내가 유능하지 않아	0
포기,정말	포기하는 수밖에 없나?  정말 슬프다	0
조건,라면	안 아프고 상냥하게 죽여준다는 조건이라면 괜찮을 것 같아	0
그냥,내일	그냥 내일 죽는 게 안전하지 않을까	0
개월,동안,장소	9개월 동안 죽을 장소나 찾아봐야겠어	0
후회,개월	후회스럽다 앞으로 9개월이나 더 기다려야 돼	0
지금	지금은 10월까지 못 기다리면 어떡하나 걱정스러워	0
일단,최대한	일단은 최대한 참아봐야겠어	0
결정,결정,장애	살지 죽을지도 결정 못 하는 결정 장애	0
절대	귀찮음은 절대적이야	0
이제,빈말,진짜	이제 빈말이 아니고 진짜로 너 싫어졌음	0
안심,날벼락	안심하고 웃고 있을 때 날벼락이 떨어질거야	0
동화,사랑	밥이 되어주진 못하지만  아름답게 사는 법을  가르쳐주는 그 동화를  나는 사랑할 수밖에 없다.	0
자격,인간	넌 자격 없는 인간인데도	0
오늘,연습	오늘부터 윌 솔플 연습하려고 했는데 아	0
자꾸,얘기	자꾸 얘기하니까 더 생각나는 거 같애	0
래야,외로워,어서,하루	그래야 덜 외로워서 내가 사랑받앗구나 십어서 이렇게 하루를 보내	0
하나	단 하나라도 이룰 수 있을까	0
가치,수준	내가 그럴 가치와 수준이 되나	0
반복	잠에서 깰 때마다 쓸쓸함을 반복하지 않아서 좋아	0
노바디,노바디	아돈니노바디노바디	0
문제,세이,썸띵	뭐가문제야 세이썸띵 	0
무지,남자,신념,고집,여자,자식,가정폭력,고통,사회,평생,상처,고통,짊어지,산다	가난하고 무지 무능한 남자와 가난하고 잘못된 신념을 가진 고집쎈 여자가 만나 태어난 자식들은 가정폭력에 고통받고 사회에 적응하지못하여 평생 상처와 고통을 짊어지고 산다	0
흉내	‘흉내 내다’는 띄어서 써야 됨	0
세상,온통,반짝,기운,현실,방독면	세상이 온통 반짝이고 봄기운이 만연하면 좋겠어 응ㅇ현실은방독면	0
건강	적어도 건강에 좋은 건 아닌 것 같아	0
소리	살면서 한 번도 소리 질러본 적이 없는 것 같아	0
대로,블루투스	급한 대로 블루투스 켜	0
머리카락	머리카락 입에 넣구 빨고십ㄴ당	0
계속,세뇌,기분	계속 보니까 세뇌되는 기분이야...으으	0
시발,버스,타겟,허망,지기	시발무서워서버스도못타겟어 허망하게디지기싫어	0
느낌	너무 느낌이 안 좋아	0
침묵,사랑,화해	침묵할 때가 있고  말할 때가 있으며  사랑할 때가 있고  미워할 때가 있으며  싸울 때가 있고 화해할 때가 있다.	0
한강,재기,재기	한강으로 재기하지 말고 땅을 딛고 재기해	0
혼재	아마도 두 개가 혼재되어 있는 것 같아	0
그냥	그냥 태어나지 말았어야 했는데	0
반복	꿈에서 반복되니 너무 힘들다	0
다음,사랑	함께여도 외롭고 널 만나고 난 다음날은 더 외롭고 어둡고 우울하고 보고십어 보고십어 보고십어 나만 사랑해줘 나만	0
국적,밀당	대국적인 밀당이 필요해	0
패자부활전,패자	패자부활전의 패자	0
지금,확신,수가	지금은 아무것도 확신할 수가 없어	0
뭔가,바로,컴퓨터	뭔가 너무 무서워 보여서 바로 컴퓨터를 꺼버린 적이 있었어	0
대화,범인,추리,소설	명료한 대화는 범인이 뻔한 추리 소설만큼 재미없어	0
미래,생각,과거,보고	미래를 생각해야지 과거만 보고 있어	0
요지경,돌라,라라,라라라,라라라라,라라,르으,르르	요지경  돌고 돌라라라ㅏ라랄라라라ㅏ라라라라라ㅏㄹ라라ㅏ라랄   르ㅡ르으ㅡ으응ㅇ ㅇ 으으으으ㅡ르르ㅡㅎㅎ	0
또한,황폐	너 또한 황폐해지길 바래	0
흐흐,흐흐,흐흐,흐흐,산더미,산더미,산더미	흐흐흐흐흑 흐흐흐ㅡ흐흐  으으으으으으  산더미 산더미 할 일 산더미   난 그저 가만히 잇구 싶은데  왜 왜 왜 왜	0
로봇	그렇다고 로봇이 섹시하진 않잖아	0
통곡,하리,감정,어찌,표현,어찌	이 날에 목놓아 통곡하리다  아 아 아 아 아 아 아  이 참담한 감정을 어찌 표현할고  아 아 아 아 아 아  내가 뭘 그리 잘못했소이까??   어찌 이렇게 매정하게 구는도가 	0
여행,구글,타임,라인,그대로,추억,보기	여행갔던곳 구글 타임라인으로 그대로 따라가면서 추억 되짚어보기	0
기어,오늘이,일주일,만해,시간,이제,소인,속세,등지	기어코 오늘이 가는구나  일주일전만해도  이럴줄은 몰랐는데  돌이켜보니 시간참빠르다  이제 소인은 속세를 등지고 산으로 돌아가야할 몸	0
임향,마음	임향한 마음이야 가실줄이 있으랴	0
간다,세계	간다 아아아아아아아아아아아아아  다른세계로 뿅!!!!!!!!!!!!!!	0
하라,마는,소인,무엇	나는 그저 따를뿐  하라면 하고 말라면 마는  어쩔수없도다 이미 그렇게 주어졌으니  미천한 소인이 무엇을 바꿀수 있겠는가  아............. 그저 바라볼밖에	0
거스,운명,소인,래야,운명,숙명	거스를 수 없는 운명을  이 힘없는 소인이 바꿀래야 바꿀수 있을까 ??  그저 따라갈뿐  나는 그 운명을 아니 숙명을 바꿀수가 없다	0
우산,의미	마른날에 우산 쓰는 것만큼 의미 없어	0
항상,여유	항상 여유 있는 척	0
포기	나는 왜 포기할 수 없을까	0
거짓	거짓이 아니었다면	0
대해,대화,대화	날 잘 알지도 못하면서 나에대해 이러쿵 저러쿵 섣부르게 말하네.  나랑 대화하려하지도 않았으면서. 내가 대화하려하면 귀찮다고 가버렸음.	0
살기	이렇게 살기 싫어	0
떡밥	떡밥이 있어도 즐겁지가 않네 그만둘까	0
올해,수능	올해 고3인데.. 수능도 못봤어	0
신경	내가 널 왜 신경써야하는데요 저 아세요?ㅋㅋ	0
누누	누누히 말하지않았나ㅋㅋ	0
극혐	으.........극혐	0
잠도,정말,시간,시간	니 들은 잠도 없냐  정말 끝까지 괴롭힐려고 하네  그 시간이 유일한 쉬는 시간인데  24시간 ,,,,,,,,,,,,으으으으으으	0
위치,행복,확인	볼 때마다 내 위치와 행복을 확인하게 됨	0
이웃,이웃,보이지,언덕,줄때,하나,언덕	내 이웃 또 이웃들이..  보이지 않는 언덕이 되어 줄때  나도....  하나의 언덕으로 설 수 있다..	0
얼굴,난도질	니 웃는 얼굴 난도질하고 싶어	0
어른,후회,생물	어른이 될수록 후회하는 생물이 되어가	0
제발,다음,사람,한텐	제발 다음사람한텐 그러지마 행복하게해줘	0
다시,나라고	그치만 다시 만나라고하면 그건싫어 이상하지?	0
정말,생각,마지막,진심	그래서 정말 끝이라고 생각했을때 너한테 마지막으로 한말은 진심이었어	0
면서,오빠,언니,기억	내살면서 오빠야 언니야 이런말 써본기억이없는듯?	0
하루,자서,런가	하루 15시간 쳐자서그런가	0
요약	1줄요약 :  걍좆같음	0
기념일,축제,배달,부스,그거	기념일때? 축제때 꽃배달부스있으면 그거어때	0
신경,거지,사실,진짜,신경	신경 안 쓰는 척하는 거지만 사실 진짜로 신경 안 씀	0
친구,연락,그냥,건가,페메	난 오랜만에 생각난 친구한테 연락하고 싶었을뿜인데  내가 그냥 싫은건가  속상하다  페메 읽씹하고 단답하는건 너무 하잖아	0
마냥,진심,마지막	웃긴 걸 보면서 마냥 웃은 적은 많은데 진심으로 행복해서 웃은 건 4년전이 마지막이네	0
짱깨	나는 오래살고싶어 짱깨개새기야	0
굳이,절절,설명,대부분	굳이 구구절절 설명하지 않아도 대부분 알아듣는다	0
사이	드디어 사이가 좁혀져서 기뻐	0
그것,숨기	그것만 숨기면 될 것 같은데	0
바라지,그냥,자연,일상,대화,수준,그것	많이 바라지도 않고 그냥 자연스럽게 일상적인 대화를 주고받을 수 있는 수준만 됐으면 좋겠는데 그것조차 너무 힘들어	0
만날,친구	만날 친구도 없어서 더 힘들어	0
흔적,보이,기분	니 흔적 보이면 기분 잡치니까	0
진짜,줄넘기	진짜 줄넘기라도 꾸준히 해야 될 듯	0
목구멍,소리,입술,치아,발음,행위,자체	목구멍으로 소리를 내고 입술과 혀와 치아로 발음을 하는 행위 자체가 어색해졌다	0
다른,데선,배척	다른 데선 배척 받는다	0
겟다,무시,제대로	아 ㄹㅇ ㅁㅊ겟다  밑에서 기어오르고 무시하고  위에서 제대로하라고 그러고 혼나고  하,,,,,,,,,,,,,	0
이마,지고,다리,취감,사람,사람,오직,사람	내 이마를 만지고 내 다리를 취감아 줄 사람  편안한 잠 끝에 나를 깨워 줄 사람  내가 원하는 것은 오직  사람....	0
남자,여자	남자라기엔 여자를 좋아하지 않아	0
아침	아침부터바쁘니이젠자야지	0
오늘,어제,제도	오늘도 어제도 그제도	0
너희	내가 사라져도 너희가 행복했으면 좋겠어.	0
돈내	그럼 돈내고쳐먹어씹련이	0
여유,연기	여유 있는 척 연기할 거야	0
능력,주소,그것,선뜻,마음,주소,아멘	능력을 주소서.  그리고 그들에게 그것을 선뜻 말해 줄 수 있는  아름다운 마음을 주소서.  아멘...	0
습관	남들이랑 있을 때도 습관적으로 해버릴까 봐 무서워	0
문단,쓰기	한두 문단 쓰고 나면 쓰기가 싫어져	0
누가,시발,인성,파탄,새끼	누가보면 시발 인성파탄난새끼로보이겠네	0
말투,사상,하나,시발	말투부터 사상까지 하나도맘에드는게없어 말걸지마시발	0
차라리,동화,영화,악몽,미련	차라리 이런 동화나 영화같은 꿈들 말고 악몽을 꿨다면 적어도 불안하거나 미련남는 것들은 없지 않았을까	0
제발	제발 착하게 말해줘	0
머리	보면 볼수록 머리에 똥만 차는 것 같아	0
로설,인스타	로설로 ^^ 인스타 law_slaw	0
일주일	일주일만 버텨보자	0
임기응변,부족함	그래서 임기응변이 너무 부족함	0
정신,제발,하라,뭔갈한다,광고	그런걸까? 아직도 정신이 다른곳에 팔려있어서 그런걸까? 남한테 입 털지마 제발... 아무것도 안한다고 하라고 뭔갈한다고 광고하지말고	0
액션,만화,나이,어째서	인싸에 옷도 잘 입고 액션만화도 잘 그리고 나는 뭐지...... 나이도 비슷한데 어째서 나랑 엄청 차이나는거지...나는 뭐지..	0
언어,구사	어떻게 해야 나다운 언어를 구사할 수 있을까	0
관계	착한 척만 해서는 깊은 관계를 맺을 수 없어	0
장난감	넌 그저 장난감이었어	0
저항	근데 저항하는 게 더 재밌을 거 같긴 함	0
연락	나한테 연락해줬으면 좋겠다	0
거울,인간	거울 속 너는...한심한 인간@!!!!!!!!!!!!!!	0
진정,가야	진정으로 얻을 수 있는 것은 한 발 더 가야 얻을 텐데	0
다른,사람,이기,아무,아무,이유,친구,결혼식,축가	다른 사람이 이기게 해준다.  아무 날도 아닌데  아무 이유 없이 친구에게 꽃을 보낸다.  결혼식에서 축가를 부른다.	0
혐오,불사,무조건	지겨움 혐오감 불사하고 무조건 성공한다	0
위해,노력	꿈을 이루기 위해 노력 하고싶다	0
그거	나도그거걸리면미친발광할거야	0
무슨,미안	무슨 말을 해야 될지 모르겠더라 미안	0
기분,휙휙바	기분이휙휙바껴 돈다돌아	0
더구나,망망대해,누군가,사람,바다로,나가야,최상,고독	더구나 망망대해에서  누군가를 그리워 본 사람은  또 바다로 나가야 한다  그 최상의 고독을 접어두고 살 수는 없다...	0
소음	팬소음도 많이 줄어든 듯 ㅎ	0
다시	다시 해는 떠오를꺼야	0
명탐정,코난	명탐정 코난 ost - 빛	0
이번,살함	이번에도 그러면 자ㅏ살함 ㅅㄱ	0
누우,운동,하나,디기,관절,시간	아니 누우면 운동못하나 디기싫으면걸으라고?관절은?시간은?	0
니요,아뇨,이건,편견	아니요보다 아뇨가 좀 더 싹싹하게 느껴지는데 이건 내 편견일까?	0
욕망,고통	욕망을 지우면 고통이 사라져	0
그냥,그냥,뭔가,그냥,기분	그냥 추워  그냥 뭔가  모르겠어 그냥 좀 누워있으면 기분이 나아질 것 같아	0
그것,관계,일방,소리,관계	양측에서 다 원해야 그것이 관계가 되는거지  일방적으로 아무리 소리질러봤자 관계가 되지 않아  그걸 알아야 해	0
알라,행성,출신,부대,정예,부대,알란,러프,라이더,이름	노알라 행성 출신 부대는 정예부대인거임  노알란 러프라이더 이런 이름으로	0
생각,빈자리,한번	내 생각 꼭 해주세요 저의 빈자리 꼭 느끼세요 한번쯤은 제 생각나서 보고싶었다고 말 해주세요	0
시발,놈년,수시	이시발놈년이죽고싶나를넘어서 뇌가밖으로빠지네 그래서칼로수시고그런가봐	0
안보	왜안보임???????	0
제자리,제자리,기분	제자리에 있어야 할 것이 제자리에 없는 기분이다	0
남자,심지	남자가 심지가 약하다  내게 맞는 말 ㅡㅜ	0
죽지,상태	죽고 싶은데 죽지 못하는 상태	0
항상,최선	난 항상 최선을 다했다 너한테 	0
이제,고등학교,생활,마지막,배정,제발	이제 고등학교생활 마지막 반배정인데 제발	0
일도	자는 것만큼 재밌는 일도 없는 것 같아	0
자꾸,친구	너무 어려워서 자꾸 친구한테 혼난다	0
멀리	너는 저멀리 떠나버렸는데	0
자신	내 자신에게 진실해야지  나  그렇게 살다  가야겠다..........	0
스트레스	아아아아아 스트레스 받아	0
영문법,공부	영문법 공부하면서 풀어야지	0
병신	너를 믿었던 내가 병신이지	0
처음	처음엔 귀여워서 좋아했는데 보면 볼수록 우둔하고 답답해서 싫어졌으니까 꺼져 ㅎ	0
사실,위해,문장	사실은 내가 너를 위해 한 발 비켜준다는 아름다운 문장이야	0
성격,만큼,머리	성격이 드러운 만큼 머리가 빠지나봐	0
감사,인생	아 감사받는 인생은 늘 행복해!	0
온라인	온라인에서만큼은 인싸임	0
오늘,설사	근데 오늘 먹으면 설사할 것 같아	0
어제,아이스크림,자서,런가	어제 아이스크림 먹고 자서 그런가	0
마음,처음,그대,생각,사랑	이 내 마음을  처음 그대 보았을 때 생각이 나요  어렵사리 키워 온 나의 사랑은  이대로 묻어야겠죠 없던 것처럼	0
기억	아직 너무 생생한 기억	0
부사,보이지	부사가 많이 들어가면 쿨해 보이지가 않아	0
가시,생선,껍질,새우,만족감,스트레스,커서,먹기	가시 많은 생선이나 껍질 안 깐 새우 같은 건 만족감보다 스트레스가 더 커서 먹기가 싫어	0
이제,로부터	이제 너로부터 벗어날 거야	0
생각,합리,판단	아무리 생각해 봐도 너를 싫어하는 게 합리적인 판단인데 그렇게 되지가 않아	0
갑자기,영문법,호기심	갑자기 영문법에 호기심이 생겼어	0
새끼,데리,앰창	왜 저런새끼 데리고다니는거지앰창ㅋㅋ	0
시발	원하는게 뭔지모르겠구나 시발년아	0
차라리,시크,이기	차라리 조용히 있으면 시크해 보이기라도 하잖아	0
의미,불명,임티,씨발,존나,시발,짐승,새끼,침묵,아가리,봉인	대답을하라니까 뭔 의미불명 임티만 쳐날리고있어 씨발ㅋㅋㅋ 아 존나답답해시발 말을하라고 짐승새끼도아니고 침묵쳐먹고 아가리봉인당햇나	0
내일,내일	내일이여 내일이여 빛은.... 언제나 있으소서 ......	0
귀신	그리고 귀신이 된다면 너만 따라다닐 거야	0
카톡,수가	내가 자ㅏ살한다고 했을 때 어떻게 카톡 한 번을 안 할 수가 있어..?	0
걱정,사랑	그래도 니가 내 걱정해줘서 너무 좋았어 사랑해	0
이상,상처	더 이상 상처받기 싫어	0
떡볶이,국물,에폭,간도,우동,김치	순대떡볶이국물에폭찍어서먹고간도많이먹고우동면발에김치얹어서먹고싶다	0
모든,참고,혼자	모든 것을 견디고 참고 혼자 울었다	0
항상,기분	항상 이때 드는 이 기분이 미치도록 싫다 	0
그것,학교,선생,딸도,여기,지옥,이상	그것도학교선생이라는게놀라워 딸도둘이나되는게말이야여기가지옥이니더이상갈데도없어	0
인간	날 죽고싶게 만든 그 인간은 행복해하네	0
노력,낫다,생각,수가	귀찮게 노력할 바에 자ㅏ살하는 게 더 낫다는 생각을 지울 수가 없어	0
스스로,도록,노력	앞으로 스스로 무뎌지도록 노력해야겠어	0
취한,상태,지고	술에 취한 상태처럼 무뎌지고 싶다	0
차라리	차라리 죽는 게 나을 것 같아	0
진짜,뽀뽀	진짜 뽀뽀 백번 해주고싶어	0
언제	언제 하지 너무 귀찮다	0
오늘,드라큘라	오늘은 피곤하니 드라큘라 좀 보다 자야겠다	0
엄마,절대,자살	엄마가 아니었으면 이미 죽었지 죽을 거라도 절대 자살은 하지 말자	0
라이언,완전,일본	라이언닮았어 완전기여움 내일본당~~	0
내일,생일	아~내일 생일이네 아~좋다 싫어(어느쪽이야!?) ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0
결혼,새끼	빨리 결혼해서 애새끼나 싸질러	0
선택,척해	왜 선택지를 주는척해요 좆같이 쳐돌려말하지말고 걍 니가 하고싶은거 말하세요..ㅋㅋ	0
메이플,스타,포스,생각	메이플 스타포스 하다 보면 그런 생각만 들어	0
아침,신선,어이,표현,리오,대로	비 오는 아침의 이 신선감을 나는 어이 표현하리오? 그저 사는 대로 살다가 깨끗이 눈감으로요......	0
만약,보고	만약 이거보고 찔리면 지우도록~~ ㅋㅋ	0
상처,사람,절대	나한테 상처줬던 사람들 절대 안 잊어먹고 되갚아줌	0
지면,기분,별로	힘주면더딱딱해져서 만지면 기분좋아 털도 별로없고	0
예전,하루	예전에는 하루도 빠짐없이 니가 나왔는데	0
원래,그냥	나도 그래  근데 원래 그래  그냥 그래	0
내일,닭꼬치,한식,뷔페,화요일,치킨	내일은 닭꼬치먹을거고 한식뷔페 갈거고  화요일은 치킨먹을거고	0
치킨,재료,비만,여자,존재,그게	치킨을 잘 튀기고 재료비만 받는 여자는  존재하지 않아.  그게 슬퍼	0
상처,음식,먹이,약도,소독,해도,상처,포켓몬,그게	상처가 나으려면 좋은 음식을 꾸준히 먹이고 약도 틈날때마다 발라주고 소독도 해야돼  그렇게 해도 상처가 낫는데 오래 걸려  포켓몬이 아니야  그게 슬퍼	0
실장,질도,소리,몸짓,그냥	실장석은 죽을때  아무런 언질도 없었다  그저 가만히 날 처다볼 뿐이었고  아픈 소리도  아픈 몸짓도 없었다  그냥 가만히 있었다	0
탈출,계획,카페,극장,놈년,쉰내,자랑	또탈출후계획짠다카페를갈까극장갈까놈년들쉰내나는게자랑이다	0
제발	제발 죽어버려ㅜㅗㅗ	0
그냥,제발	꺼져 그냥 차에 치여 뒤져 제발	0
외향,가스,소시오패스,제일	너처럼 외향적이고 가스라이팅 잘할 거 같은 소시오패스가 제일 싫어	0
마지막,생각	마지막이라고 생각하지 않으면 편하다	0
느낌	숨이 막혀서 뇌에 피가 다 마르는 이 느낌을 그만 느끼고 싶다	0
시바,가사,지랄,성별,상관,대가리	시바 내가 번 돈으로 내가사겠다는데 지랄이여 겜하는게 성별이랑 뭔상관이지 틀딱들 대가리깨주고싶네	0
사람	귀여우면서 똑똑한 사람을 한 번도 본 적이 없어	0
취했,비로소,체감	술에 취했을 때 비로소 체감이 된다	0
일상,스트레스,로부터,해방	사소하고 일상적인 스트레스로부터 해방될 수 있어 ㅎㅎ	0
하나,고양이,아기,장농,여자,하나	하나가 나오더니 고양이가 들어앉아 있고  아기는 장농 위에 있고  여자 하나가 있고	0
오늘,아침,무리,안개,무너,뜨렸다,저녁,혼자,도로로,오늘,다시	오늘 아침 한 무리의 안개 나는 길을 무너 뜨렸다. 저녁은 내가 혼자 남긴 도로로 가득하다. 오늘 다시 갈 수없는 길...	0
일단	일단 해봐야지 그래도...	0
연기	연기를 잘 못하니까 남들 눈에 너무 어색하게 보이는 것 같아	0
평생,기관지,그날	평생 없었으면 좋겠다 너가 내 기관지를 고쳐주는 그날까지	0
세상,인류,가장,당신,위로	이 세상의 인류 중 가장 불행한 나와 당신에게 위로를.	0
산소,운동	유산소 운동 안 한 지가 몇 달은 된 것 같아	0
운동,런가,초반	운동을 안 해서 그런가,,, 아직 20대 초반인데 심각하다	0
계속	한 번 욕 먹으면 몇 년이 지나도 계속 생각나	0
하든	뭘 하든 쿨하게 넘기질 못해	0
모든,사람	모든 사람한테 잊혀지고 싶어	0
묘지,기간,암시,정원	그 뒤로보이는 묘지들은 오랜기간 이어왓다는 것을 암시..잘가꾸어진 정원	0
뭔가,뭔가,하리	섬이 되어 앉아 있어봐라 삶이란 게 뭔가 삶이란 게 뭔가 너는 밤새도록 뜬 눈 밝혀야 하리....	0
벌써,마음,어디가,벌써,향수,코디,검색,난리	봄(?)이 가까워지니까 벌써 마음이 간질간질한거같아 막 어디가 간지러운지 모르는데미치겠는거ㅡㅡ 벌써 봄향수코디검색하고난리났다 하	0
아무,보기,사람,두운,구석	아무도보기싫고 나없는사람처럼 어두운 방구석에서 말없이 지내고싶어	0
대체,무슨,의미	대체 무슨 의미가 있는건데	0
알기,하나,정말,필요,하나,항상	이렇게 쓴다고 내맘 알기나 하나 답답하다 난 정말 다른거 필요 없어 너하나면 충분해 항상 보고싶어 	0
감정,주체,수가	내 감정을 주체할 수가 없다	0
사람,고작,게임,하나	내가 알면 안 되는 사람이었나? 안 봐도 뻔하지 ㅋㅋ 고작 게임 하나 갖고 에휴	0
사람,명도,진짜,전부,가짜,인간관계	다 털어놓고 싶은데 들어줄 사람이 한명도 없네  진짜는 죽고 전부 가짜 인간관계 뿐이고  배고프다	0
진짜	진짜 너무좋아 너도 알고있었으면 좋겠다	0
두운	또다시 어두운 밤	0
오늘,미용실	오늘 미용실에서 너무 찐따티 내고 온 것 같아 ;ㅅ;	0
뭔가,목소리	뭔가 목소리가 많이 묻히는 것 같음...	0
산다,사랑,사람	말할 걸 그랬지 님이 아니면 못 산다 할 것을  사랑한다고 말할 걸 그랬지 망설이다가 가버린 사람	0
공부,자괴,감드,커피,오늘밤,일찍,지해	공부하느라못자는것도아니고폰하느라잠못자니깐자괴감드네ㄹㅇㅋㅋ낮에 잠깨려고 커피마시면서 오늘밤엔일찍자야지해놓고 밤만되면 폰on	0
총알	총알 한발 근데 살 돈도 없잖아ㅋ	0
오늘이	잘지내 나도 오늘이 지나면 다 잊을거야 쉽진 않겠지만	0
하나	두 겹으로 묶어야 하나	0
심장마비	이대로 심장마비로 죽었으면 하고	0
초등학교,학년,자살,생각	초등학교 3학년 때부터 자살을 생각했다	0
차라리,컨셉	차라리 쿨한 컨셉을 잡을걸 그랬나 봐	0
얼마나	그얼마나 외로웠나	0
이제,그때,최선,생각	이제부터 그때처럼 안그러는것만이 최선이라고 생각한다	0
사람,항상	좋아하는 사람에겐 항상 지는거야	0
명품,가방,얼굴,자식,길가,다가,아치,죽지,한번,한번	명품 가방 메고 행복해 보이는 니 얼굴을 찢어버리고싶다  니 자식은 길가다가 양아치들한테 죽지않을만큼 쳐맞길 단 한번이라도 단 한번이라고 쳐맞길바란다	0
어디,요기,다른,사람,여자,렐레,요즘,기분	어디다 말할데도 없고 요기까지 왔네ㅋㅋㅋㅋ 니가 다른 사람한테  여자라고 속이듯 너두 속아서 헬렐레 하고 있는게 너무 통쾌해서 나요즘  기분이 넘 좋아 ㅋㅋㅋㅋㅋㅋㅋㅋ	0
그냥	그냥 내가 다 미안해	0
이유,가지	니가 싫은 이유 10가지 떠올리기 전까지 잠 안 잘 거야	0
생각	너한테 버림받은 지 한 달은 지났는데 아직도 네 생각밖에 안 나	0
애인,남자,여자,애인	애인을사귀고싶다 남자와여자는많지 그래도애인은없지	0
그냥,감정	그냥 감정적으로 담담해졌음	0
요즘,정보	요즘 너무 똑같은 정보만 받아들이는 듯	0
이기,상대방	이기면 상대방이 나 미워할 거 같아서 싫어	0
아이폰,쓰레기	아이폰은 이쁜 쓰레기	0
아무,간섭	예쁜옷입고 세끼맛있는거먹고 아무의간섭도없는곳으로살면좋겠다	0
눈치,건가,마란	아니다 내가 눈치가 없는건가? 티냈으면 글을 싸지 마란말이다	0
죽지	죽지도 살지도 못해	0
관심	너한테 관심받았으면 좋겠어	0
아침	아침은 너무 힘들다	0
무신론자	무신론자인 내가 당 신을 믿어	0
자살,시발	이럴때마다 자살말려 시발	0
원래,라면,시간,오늘,내일,오늘이,기분,항상	원래라면 불안하고 초조해서 이 시간까지 못자고 있었는데 오늘은 눈 감으면 내일이라는게 싫어서 잠 들기 싫다 오늘이 영원했으면 좋겠다 이 기분을 항상 느끼고 싶어	0
오늘,순간,지금,시간,오늘,날로	오늘 이 순간 지금 시간이 멈췄으면 늘 오늘과 같은 날들 이였으면 이렇게 불안해 하지 않아도 되는 날로만 가득했으면 	0
오늘	특히 오늘은 더 그래	0
연락,친구,다행	연락 올 친구가 없어서 다행이야	0
우웩	너무 맛없어 우웩 =ㅠ=	0
매너리즘,매너리즘	매너리즘의 매너리즘?	0
뭔가,집중	뭔가 집중이 안 되는 것 같아	0
취미,종교,사랑,전부,맹목,정당화,도구	취미? 종교? 사랑? 이런 건 전부 맹목적인 삶을 정당화하는 도구에 지나지 않음	0
진통제	저도 그렇게 진통제가 잘 들었으면 좋겠어요	0
안락사,금지	어떻게 안락사를 금지할 수 있지	0
귀신,보고	나 귀신 되보고 싶어	0
때문	너 때문에 다 망쳤어 죽어	0
